flight_date,airline,origin,destination,scheduled_departure,actual_departure,delay_minutes,delay_reason,distance_miles,aircraft_type
2023-08-21,Southwest Airlines,MDW,DFW,17:45,17:45,0,None,1311,Boeing 737-900
2023-08-12,Southwest Airlines,PHX,FLL,12:30,12:30,0,None,800,ATR 72
2025-06-13,Allegiant Air,DFW,BWI,12:00,12:00,0,None,266,Boeing 767-300
2023-07-19,Spirit Airlines,LAS,JFK,23:45,00:47,62,Weather,2346,Embraer 175
2025-03-18,Delta Air Lines,JFK,PHX,08:00,09:06,66,Mechanical,2497,Boeing 767-300
2025-04-14,United Airlines,BWI,DEN,22:15,22:15,0,None,389,Airbus A320
2024-07-19,Hawaiian Airlines,JFK,DEN,10:45,10:45,0,None,421,Boeing 757-200
2024-12-20,Delta Air Lines,BWI,BOS,09:45,09:45,0,None,654,Embraer 175
2024-11-11,Hawaiian Airlines,ORD,CLT,08:45,09:04,19,Weather,1581,Airbus A321
2023-10-20,Allegiant Air,DTW,DEN,16:00,16:00,0,None,2702,Embraer 175
2024-10-22,JetBlue Airways,JFK,SEA,17:45,17:45,0,None,490,Boeing 737-900
2025-01-02,Allegiant Air,LGA,DFW,20:00,20:11,11,Security,1021,Airbus A320
2025-03-01,United Airlines,MSP,DEN,17:45,17:45,0,None,2441,Boeing 767-300
2024-01-16,Allegiant Air,CLT,MSP,06:00,06:00,0,None,2543,Boeing 777-200
2023-10-24,Hawaiian Airlines,BWI,PHL,17:45,17:45,0,None,347,Boeing 737-800
2025-02-22,Delta Air Lines,DTW,BWI,13:30,13:39,9,Security,2918,Boeing 767-300
2025-06-20,Spirit Airlines,DTW,SFO,12:00,12:00,0,None,2837,Boeing 777-200
2024-12-02,Southwest Airlines,ORD,SEA,14:15,14:15,0,None,446,Boeing 777-200
2023-11-22,Delta Air Lines,FLL,SFO,15:45,15:45,0,None,652,Boeing 777-200
2023-08-16,Southwest Airlines,CLT,PHL,12:00,16:50,290,Air Traffic,837,Boeing 787-8
2023-12-27,American Airlines,BWI,FLL,21:30,00:38,188,Weather,2791,Boeing 737-900
2025-03-28,Delta Air Lines,LAX,PHX,19:30,19:51,21,Air Traffic,2554,Airbus A330-200
2025-02-26,Hawaiian Airlines,DEN,BWI,05:45,05:45,0,None,483,Airbus A330-200
2023-10-07,Hawaiian Airlines,JFK,LAS,09:00,09:00,0,None,661,Boeing 737-900
2024-01-01,United Airlines,MDW,PHX,11:00,11:00,0,None,1173,Airbus A320
2023-12-08,Delta Air Lines,LAS,MSP,15:15,15:30,15,Mechanical,2903,Boeing 737-800
2025-04-12,JetBlue Airways,LAX,SFO,05:00,05:00,0,None,2969,Airbus A320
2024-09-30,Alaska Airlines,IAH,SFO,09:00,09:00,0,None,2512,Airbus A320
2024-11-10,American Airlines,SEA,LAX,17:00,17:09,9,Air Traffic,1157,Airbus A320
2025-05-29,Southwest Airlines,LAX,LAS,11:00,11:00,0,None,1681,CRJ-900
2023-08-07,Frontier Airlines,MDW,MIA,14:30,14:30,0,None,1643,Airbus A320
2024-11-25,Delta Air Lines,ORD,PHL,05:30,06:11,41,Air Traffic,2030,Boeing 737-900
2023-07-12,Spirit Airlines,FLL,JFK,07:00,07:00,0,None,1564,CRJ-900
2024-02-14,Delta Air Lines,SEA,SFO,13:45,13:56,11,Air Traffic,665,Boeing 737-800
2024-02-20,Hawaiian Airlines,IAH,MSP,05:00,05:00,0,None,1809,CRJ-900
2025-05-26,Hawaiian Airlines,LAS,LGA,20:45,20:45,0,None,2333,CRJ-900
2024-09-13,Spirit Airlines,DFW,PHX,10:30,10:30,0,None,469,Boeing 767-300
2023-11-29,American Airlines,LAS,LGA,20:30,20:43,13,Weather,2534,Boeing 737-800
2025-04-28,United Airlines,SEA,JFK,09:00,09:00,0,None,1202,Airbus A321
2025-01-23,JetBlue Airways,DFW,MDW,17:00,17:00,0,None,2578,Boeing 757-200
2023-12-28,Frontier Airlines,CLT,MIA,23:00,23:00,0,None,647,Airbus A321
2023-09-16,Hawaiian Airlines,FLL,LAS,22:45,22:45,0,None,1667,Boeing 737-800
2024-05-08,Spirit Airlines,JFK,CLT,16:15,16:15,0,None,2268,Airbus A320
2025-02-27,United Airlines,PHX,DTW,20:30,20:30,0,None,2135,Boeing 767-300
2024-11-12,JetBlue Airways,DEN,PHL,05:45,05:45,0,None,793,Boeing 787-8
2024-04-09,Spirit Airlines,SEA,LAS,19:30,19:30,0,None,867,Boeing 787-8
2025-06-18,Alaska Airlines,MSP,DFW,20:30,20:30,0,None,1624,Boeing 757-200
2023-09-13,American Airlines,DFW,MDW,14:45,14:45,0,None,1115,Boeing 767-300
2023-08-16,Allegiant Air,LAX,IAH,14:15,14:15,0,None,2451,Embraer 175
2023-12-04,Southwest Airlines,CLT,IAH,23:00,23:27,27,Weather,2370,Embraer 175
2025-02-04,United Airlines,CLT,MDW,09:45,10:14,29,Weather,1390,Airbus A330-200
2024-12-02,Allegiant Air,DFW,IAH,11:00,11:00,0,None,471,Boeing 737-900
2023-12-25,United Airlines,BOS,CLT,20:45,21:05,20,Weather,1045,ATR 72
2024-06-03,Spirit Airlines,FLL,MIA,05:30,05:30,0,None,215,Boeing 777-200
2023-08-16,Delta Air Lines,DEN,ORD,13:30,13:47,17,Weather,1197,Boeing 787-8
2024-06-15,JetBlue Airways,MSP,BWI,18:00,18:00,0,None,871,Boeing 767-300
2025-01-09,Spirit Airlines,MIA,LAX,17:30,17:30,0,None,2323,Airbus A321
2025-01-16,Hawaiian Airlines,LAX,BOS,20:45,20:45,0,None,2491,Boeing 787-8
2024-02-12,Frontier Airlines,LAX,PHL,22:15,22:15,0,None,1009,CRJ-900
2023-10-19,JetBlue Airways,FLL,MIA,14:30,14:30,0,None,1792,Boeing 757-200
